Star,"Project ID","Lead Investigator",Title,Sponsor,"Projected Start Date","Projected End Date",Status,Requested,Awarded,Campus
,UNL-00065883,"Taro Mieno","Determining Information Gaps in Groundwater Regulated Systems (DIGGRS)","Dept of Agriculture-NIFA",,,Active,"$649,894",$0,UNL
,UNL-00059030,"Mark Svoboda","USDA Support of the U.S. Drought Monitor and Hub Activities for 2023-2024","Dept of Agriculture-OCE",09/30/2023,09/30/2024,Active,"$1,275,000","$1,275,000",UNL
,UNL-00058740,"Santosh Pitla","Decentralized Farms for Decarbonization, Climate-Smart Farming, and Resilient Rural Communities (DeFa4DeCa)","Dept of Agriculture-NIFA",,,Active,"$9,997,987",$0,UNL
,UNL-00058684,"Joe Luck","Demonstration and Asssessment of Sensor Based Fertigation Management across Nebraska","Dept of Agriculture-NRCS",,,Closed,$0,$0,UNL
,UNL-00057978,"Seunghee Kim","Collaborative Research: RII Track-2 FEC: Supporting Rural Livelihoods in the Water-Stressed Central High Plains: Microbial Innovations for Climate-Resilient Agriculture (MICRA)",NSF-EPSCoR,08/15/2023,07/31/2027,Active,"$2,101,812","$1,051,288",UNL
,UNL-00057380,"Joe Luck","Growing Climate Smart Practices across the Midwest: Nebraska Future Agricultural Research and Management Systems (NFARMS)","Dept of Agriculture-NIFA",,,Closed,$0,$0,UNL
,UNL-00057364,"Erin Haacker","DISES: Water Management under Uncertainty in Dynamic Water-Human Agroecological Systems",NSF,,,Closed,$0,$0,UNL
,UNL-00057284,"Xin Qiao","The 1 acre*inch Project: A grower's Water and Energy Conservation Network in Nebraska","Dept of Agriculture-NRCS",,,Closed,$0,$0,UNL
,UNL-00057260,"Mark Svoboda","USDA Support for Enhancements to the U.S. Drought Monitor and engaging the USDA Climate Hubs 2022-2023","Dept of Agriculture-OCE",09/30/2022,09/30/2023,Active,"$1,325,000","$1,325,000",UNL
,UNL-00055108,"Brian Fuchs","USDA Support for Enhancements to the U.S. Drought Monitor 2021-2022","Dept of Agriculture-OCE",09/30/2021,03/31/2023,Closed,"$1,275,000","$1,275,000",UNL
,UNL-00054409,"Joe Luck","Nitrogen Research for Agriculture Transformation and Enhancement","Dept of Agriculture-ARS",06/01/2021,05/31/2026,Active,"$2,214,000","$2,214,000",UNL
,UNL-00054031,"Santosh Pitla","SCC-IRG Track 1: Connected Agricultural Robots for Smart Farming (CARS)",NSF,,,Closed,$0,$0,UNL
,UNL-00053475,"Joe Luck","CPS:FRONTIER: Future Farming: Intensifying Responsive Row-Crop Management via Automated Data Analytics and Robotics",NSF,,,Closed,$0,$0,UNL
